id,names,categories,altCategories,websites,socials,phones,brand,street,city,postcode,state,country
08f26e8b35b46b8d03eecd1dfd6f0a83,Magnolia Trading Post,clothing_store,,"[""http://www.magnoliatradingpost.com""]","[""https://www.facebook.com/1693937694181742""]","[""+14794278870""]",,1004 S Mount Olive St,Siloam Springs,72761-4222,AR,US
08f26e8b35b6e05303f14f3c81250d48,Factory Connection,clothing_store,,"[""http://www.factory-connection.com""]","[""https://www.facebook.com/1971391032914476""]","[""+14795798196""]","{""names"":{""common"":[{""value"":""Factory Connection"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",127 Highway 412 E,Siloam Springs,72761-4772,AR,US
08f26ed550890d0303267379ba39a489,The Red Shoe Dancewear Boutique,clothing_store,,"[""http://www.theredshoedancewear.com""]","[""https://www.facebook.com/477197495502""]","[""+14792540334""]",,810 NW 3rd St,Bentonville,72712-5136,AR,US
08f265e495c6c524033410340a7335dd,Queen Elizabeth (Dressin Gaudy),women's_clothing_store,,"[""http://www.queenelizabethfashions.com""]","[""https://www.facebook.com/429246407179142""]","[""+14173363465""]",,3265 Falls Pkwy,Branson,65616-3472,MO,US
08f265e4b305ba6d0365d20b3a515fbe,Beautiful Dresses In Arizona,women's_clothing_store,,"[""http://www.beautifuldressesaz.com/""]","[""https://www.facebook.com/907391955966815""]","[""+13147362664""]",,7700 W Arrowhead Towne Ctr,Glendale,85308-8612,AZ,US
08f265e4b3b0b99e03bea82f5671ee43,Girlie Girl Originals,clothing_store,,"[""https://girliegirlwholesale.com""]","[""https://www.facebook.com/103556779729470""]","[""+14172134415""]",,300 Tanger Blvd,Branson,65616-2185,MO,US
08f265e4a348d87203863f9bb94b7f18,francesca's,women's_clothing_store,,"[""https://www.francescas.com/""]","[""https://www.facebook.com/147143278642114""]","[""+14176903332""]","{""names"":{""common"":[{""value"":""francesca's"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",319 Branson Landing Blvd,Branson,65616-2088,MO,US
08f265e4a359167303eee6823191f20e,"Freebird & Co., LLC",clothing_store,,"[""https://www.freebirdandcompany.com/""]","[""https://www.facebook.com/666011710402726""]","[""+14175440788""]",,214 S Commercial St,Branson,65616-2704,MO,US
08f2653205d2b98503ed7729ec4e4c96,LUK Boutique,women's_clothing_store,,"[""http://lukboutique.com""]","[""https://www.facebook.com/1409459692635390""]","[""+14174945008""]",,111 S Main St,Nixa,65714-9608,MO,US
08f265338398409803107d18d10fba9e,Twisted Willow Boutique,women's_clothing_store,,"[""http://twistedwillowbtq.com""]","[""https://www.facebook.com/105104744948539""]","[""+14173401992""]",,562 E Harrison St,Republic,65738-1353,MO,US
08f26533034685b5038e456700664070,Yesterday Vintage Boutique,clothing_store,,"[""https://www.etsy.com/shop/yesterdayvintage1964""]","[""https://www.facebook.com/939614342716129""]","[""+14176319841""]",,3211 S Campbell Ave,Springfield,65807-4912,MO,US
08f265331d10843503ad864182c52cdf,A Likely Story Boutique,women's_clothing_store,,"[""http://www.alikelystoryboutique.com/""]","[""https://www.facebook.com/567485693593106""]","[""+14179269113""]",,238 E Republic Rd,Springfield,65807-6000,MO,US
